epoch,train_loss,val_loss,val_corr_seq,val_corr_type
0,9472.953518284898,9279.929552452464,0.06007211655378342,0.14128895103931427
1,9370.274616826937,9393.49549743072,0.06709319353103638,0.14597278833389282
2,9307.349530422476,9260.647947530655,0.07628177106380463,0.15852989256381989
3,9255.463422921226,9247.33643633184,0.07733781635761261,0.15438607335090637
4,9184.574295063736,9179.912689235362,0.09193205088376999,0.16616080701351166
5,9151.429292209623,9163.882021627864,0.09177014231681824,0.16935275495052338
6,9118.50575530122,9186.301477166839,0.09893985092639923,0.17408521473407745
7,9086.557318476749,9115.676208337834,0.10342878103256226,0.1806563287973404
8,9058.407431332414,9126.736202784004,0.10400625318288803,0.18018651008605957
9,9031.006463974005,9149.16879676021,0.10208956897258759,0.18087245523929596
10,9034.7846082266,9182.012664926804,0.09908929467201233,0.17701031267642975
11,8977.456236236085,9190.15347224098,0.09958422929048538,0.17945508658885956
12,8956.362071840886,9201.87668091981,0.09917572140693665,0.18062075972557068
13,8936.646701388889,9309.710357217615,0.09860271215438843,0.18077753484249115
14,8884.728089724687,9243.569245202436,0.0982680693268776,0.18372415006160736
15,8822.791822988442,9185.766315430532,0.10519145429134369,0.18527863919734955
16,8761.593616371798,9192.703956386398,0.10858767479658127,0.18576273322105408
17,8696.433779520645,9305.976194917486,0.10284705460071564,0.18428298830986023
18,8627.957427912546,9264.996072226799,0.1047249436378479,0.1872522234916687
19,8573.894038324484,9234.393404025092,0.10413569957017899,0.1888856291770935
20,8534.32934813081,9312.669642917432,0.10551845282316208,0.18674644827842712
21,8471.165372605248,9303.048071858795,0.10552379488945007,0.18828532099723816
22,8449.16429576882,9362.815262566173,0.10591226071119308,0.18796278536319733
23,8403.422225430988,9266.703642822898,0.1071782261133194,0.18759727478027344
24,8368.664426019373,9334.493974769744,0.10818322002887726,0.18783921003341675
25,8325.165883052314,9322.220032529576,0.10815256834030151,0.18680477142333984
26,8322.596115092514,9404.417066463646,0.10382303595542908,0.1875569075345993
27,8277.209490811108,9342.83905372191,0.10963581502437592,0.18572154641151428
28,8238.998568721629,9475.518033488413,0.10484384000301361,0.1874387413263321
29,8211.985656922996,9390.586697142395,0.10422095656394958,0.18134313821792603
30,8238.850434787748,9353.153288660733,0.10997553914785385,0.186568483710289
31,8161.01131121565,9372.526557942145,0.108249232172966,0.1861095428466797
32,8171.594357976654,9371.259249068173,0.10425092279911041,0.1847381740808487
33,8122.398842712218,9356.283282043405,0.10811588168144226,0.18544624745845795
34,8116.933569367603,9359.298292155088,0.10699057579040527,0.18394747376441956
35,8062.666024702429,9351.038198617789,0.10702963173389435,0.18361498415470123
36,8092.027488038903,9344.89541159113,0.10773469507694244,0.1838427186012268
37,8059.188208672787,9444.00858353703,0.10431365668773651,0.1812445968389511
38,8141.360276832036,9415.286069930991,0.10731351375579834,0.18189385533332825
39,8010.600552899879,9372.675811635696,0.10765967518091202,0.1803906112909317
40,7975.007254449207,9360.444598858174,0.10535090416669846,0.1795872449874878
